Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"calcGroebner/case01/lex",8.44390769172133e-4,8.404195103728979e-4,8.508821123524716e-4,2.5379506183364584e-5,1.7446054015960933e-5,3.577456924202445e-5
"calcGroebner/case01/grlex",8.700558389488019e-4,8.605262483421127e-4,8.964589084449568e-4,7.539272235390237e-5,3.296348498195675e-5,1.5962795709658918e-4
"calcGroebner/case01/grevlex",9.225563003305804e-4,9.068818682118468e-4,9.598783447031389e-4,1.1638934066927678e-4,5.8450744034242025e-5,2.2723435982226529e-4
"calcGroebner/case02/grlex",3.7077370820547406e-2,3.639459484627373e-2,3.8766521153951954e-2,5.111528931119683e-3,1.6823380511566397e-3,9.224213561595326e-3
"calcGroebner/case02/grevlex",4.322292679360037e-2,4.234134548714286e-2,4.624009245445855e-2,7.4466058338563896e-3,1.6333352597597565e-3,1.671482137215302e-2
"calcGroebner/case03/lex",6.081257997061076e-3,6.030489144827187e-3,6.150349317098918e-3,3.022076425900252e-4,2.4043408218467804e-4,4.060989394878937e-4
"calcGroebner/case03/grlex",5.417286096121133e-3,5.295742688680948e-3,5.623601613546673e-3,7.948378898831528e-4,5.188357902487086e-4,1.1538112705832436e-3
"calcGroebner/case03/grevlex",2.9116999488127864e-3,2.821248708273234e-3,3.1793224196684984e-3,7.264962826934147e-4,3.0241127437595245e-4,1.5744405537847148e-3
"calcGroebner/case04/grlex",2.199645178520727e-4,2.1887641213683465e-4,2.218084104630628e-4,7.0818877737181225e-6,4.697361287859649e-6,1.0866636616057346e-5
"calcGroebner/case04/grevlex",2.7819662773818286e-4,2.493908950111321e-4,3.421867835939978e-4,2.0859671737180139e-4,1.1017643706612153e-4,3.8669117884824653e-4
