Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"calcGroebner/case01/lex",6.900669136188098e-4,6.873554983279771e-4,6.945885219714708e-4,1.7499838266041924e-5,1.1750970564286142e-5,2.4283386059113705e-5
"calcGroebner/case01/grlex",1.0192681681502743e-3,1.0124859543034323e-3,1.0315355987736475e-3,4.532057123316321e-5,2.6918783209537426e-5,7.220295444066814e-5
"calcGroebner/case01/grevlex",1.0841860370917446e-3,1.0541953640265595e-3,1.1584331589026583e-3,2.256737198588074e-4,8.375729253875067e-5,4.245416201082124e-4
"calcGroebner/case02/grlex",2.958521882635023e-2,2.935210506063369e-2,3.0140190521296528e-2,1.7287474962186247e-3,6.435212186888165e-4,3.159265501736728e-3
"calcGroebner/case02/grevlex",3.1147039333399806e-2,3.094594756704237e-2,3.150450746160413e-2,1.333438722711081e-3,8.269948927627773e-4,2.1003124745587096e-3
"calcGroebner/case03/lex",4.115267196711566e-3,4.069834152277974e-3,4.188146987971335e-3,2.906146405090123e-4,2.0759714272242116e-4,4.1546538958247355e-4
"calcGroebner/case03/grlex",7.815561691340471e-3,6.8275527153578075e-3,1.0062270561274556e-2,7.229635067919839e-3,3.7784192715385623e-3,1.317374243707864e-2
"calcGroebner/case03/grevlex",3.285117546137835e-3,3.2402519379225035e-3,3.365202346858049e-3,2.997003976344811e-4,2.0081308713837544e-4,5.12348160587374e-4
"calcGroebner/case04/grlex",3.209525842736993e-4,3.1972979498613214e-4,3.230649728845391e-4,8.045271582658731e-6,5.177159794359974e-6,1.1725701559933774e-5
"calcGroebner/case04/grevlex",3.3752753612777554e-4,3.292499836593393e-4,3.5950496074935753e-4,6.27689358764199e-5,1.6923155178315253e-5,1.25197756587383e-4
