Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,3.570360771304021e-5,3.544240422611313e-5,3.60299789855077e-5,9.873860268847077e-7,7.893916348309927e-7,1.2156599104688837e-6
irreducible/F 2/3,5.510282530035983e-5,5.471630613894476e-5,5.56366414607671e-5,1.4646759022948028e-6,1.0065261278262659e-6,2.08937844909733e-6
irreducible/F 2/4,7.23257781361664e-5,7.19332543932266e-5,7.285662074066566e-5,1.5376033385408229e-6,1.2332062743117534e-6,2.1361697907404833e-6
irreducible/F 2/5,9.954425794177229e-5,9.863564889933808e-5,1.0067187817453331e-4,3.4680352330679086e-6,2.507437341253104e-6,5.440066291473403e-6
irreducible/F 2/20,1.96658456157507e-3,1.955922539093657e-3,1.9783566720264403e-3,3.7986990508804784e-5,3.000805032989176e-5,5.281913914034325e-5
irreducible/F 59/2,7.179775663197276e-5,7.066273907460598e-5,7.43501825857972e-5,5.541268685351624e-6,2.124287919592129e-6,9.246160541385774e-6
irreducible/F 59/3,1.600087620451669e-4,1.5935483318300244e-4,1.6125520460688543e-4,2.896981608837714e-6,1.983149924106845e-6,4.573833954328017e-6
irreducible/F 59/4,3.131581040360241e-4,3.11618361411295e-4,3.1528662425075077e-4,6.362551950512464e-6,5.073027762885133e-6,8.463295159469987e-6
irreducible/F 59/5,5.55179417638091e-4,5.529438587164127e-4,5.586760878694226e-4,9.727168332742041e-6,6.759794141886859e-6,1.5771989884077853e-5
irreducible/F 12379/2,1.0247012351067303e-4,1.0188550213366403e-4,1.0328473125324216e-4,2.3552428867817473e-6,1.7297209049260155e-6,3.2245337507117373e-6
irreducible/F 12379/3,2.611523027169032e-4,2.5992271384068453e-4,2.631875132298004e-4,5.36187341863343e-6,3.2055060923352426e-6,9.340092583667423e-6
irreducible/F 12379/4,5.57326517161399e-4,5.545610278357486e-4,5.621930589548017e-4,1.220423190916298e-5,8.190363630502004e-6,1.843592069517166e-5
irreducible/F 12379/5,9.879597932702456e-4,9.833143387637496e-4,9.930840052240853e-4,1.6927101129698375e-5,1.3795983292429458e-5,2.1544116836396202e-5
irreducible/F 12379/20,5.6233873223278434e-2,5.572936833504273e-2,5.6632217476565744e-2,8.819794742729304e-4,7.10993723799107e-4,1.1463212049613338e-3
irreducible/GF 2 5/degree 2,1.1550462380143765e-3,1.1489990604585524e-3,1.1646729542618083e-3,2.4851444374252015e-5,1.796316342396401e-5,3.368982334443184e-5
irreducible/GF 2 5/degree 3,3.5236304095392058e-3,3.5031940941139448e-3,3.554209583046032e-3,7.948667119141017e-5,5.9821744030878394e-5,1.0883267573198383e-4
irreducible/GF 2 5/degree 4,7.766318735585421e-3,7.711284435301006e-3,7.860537196897567e-3,2.0517093098283001e-4,1.4742558832954813e-4,3.4227459058763137e-4
irreducible/GF 2 5/degree 5,1.3428644976328286e-2,1.3325633032544672e-2,1.3580975705917668e-2,3.2982160423849366e-4,2.4753719875307e-4,4.0774566375493854e-4
irreducible/GF 2 5/degree 20,0.7353310105153175,0.7326050668461905,0.7383567580727778,4.784523105202509e-3,3.3603582633461577e-3,7.18441466081063e-3
product of polynomials of degree one/F 59/factors 5,2.7945153405044233e-4,2.77760064314247e-4,2.8218083612537807e-4,7.0165522055354595e-6,5.281252197478781e-6,1.1272496433459441e-5
product of polynomials of degree one/F 59/factors 10,1.0909964840380719e-3,1.0861824012219686e-3,1.0971348585350218e-3,1.8529514711612922e-5,1.5528622670822355e-5,2.2609327171062228e-5
product of polynomials of degree one/F 59/factors 20,1.750928620460106e-3,1.7369266437957482e-3,1.7740127049103327e-3,6.0491898253126496e-5,3.750652689372537e-5,9.158486560901484e-5
product of polynomials of degree one/F 59/factors 50,6.7011488030450225e-3,6.6652665077882e-3,6.748362414058223e-3,1.2139002707348506e-4,9.97693360618588e-5,1.4956854570570297e-4
