Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,3.190597489511054e-5,3.167230076323168e-5,3.226908346743803e-5,9.861171745245377e-7,6.404895706456627e-7,1.4574709961045258e-6
irreducible/F 2/3,5.1961444675606144e-5,5.1388368420503405e-5,5.2684774423199524e-5,2.183428889723885e-6,1.7536636850310835e-6,3.134617247876915e-6
irreducible/F 2/4,8.924837379955261e-5,8.469242311547843e-5,9.696700658898917e-5,1.971143460781618e-5,1.3332286879090767e-5,3.178111525199667e-5
irreducible/F 2/5,1.04391464735164e-4,1.0122859288682205e-4,1.0907374169505602e-4,1.278375834739664e-5,9.701351547435413e-6,1.8746113739525824e-5
irreducible/F 2/20,1.9916744491818147e-3,1.977011899492177e-3,2.002980169851591e-3,4.3786789278492746e-5,3.554183699255976e-5,5.5083809957282614e-5
irreducible/F 59/2,7.468296992996119e-5,7.282312194156175e-5,7.692585796236391e-5,6.898886761385975e-6,5.691929239787643e-6,8.667183600256692e-6
irreducible/F 59/3,1.6454953935734362e-4,1.6244479425681782e-4,1.6794211375315918e-4,8.777382949348106e-6,6.073530509403188e-6,1.3920348595068065e-5
irreducible/F 59/4,3.266257818107077e-4,3.218723232696885e-4,3.345631019509279e-4,1.935613275432684e-5,1.3495243245166192e-5,2.666202052058677e-5
irreducible/F 59/5,5.531206871315992e-4,5.46326104637892e-4,5.623623432140006e-4,2.7918077041919488e-5,1.823871983197662e-5,4.132868637904346e-5
irreducible/F 12379/2,1.2485683228361037e-4,1.2181960922023228e-4,1.268632872043735e-4,8.237107063070436e-6,5.959149105823195e-6,1.1359745638669561e-5
irreducible/F 12379/3,2.951421267424558e-4,2.8847519135038053e-4,3.021243448310793e-4,2.2740087239579715e-5,1.9532926226991205e-5,2.614671347715108e-5
irreducible/F 12379/4,6.755945015978912e-4,6.662707722047514e-4,6.855460180366319e-4,3.299015341861128e-5,2.563234296421023e-5,4.3348232355626045e-5
irreducible/F 12379/5,1.1985621101244547e-3,1.1680320294126987e-3,1.2384601604836867e-3,1.1363115628964004e-4,9.108697579377033e-5,1.512040567757461e-4
irreducible/F 12379/20,6.807556887930495e-2,6.628128926779701e-2,6.952873014431217e-2,3.024906131490909e-3,2.130856518835646e-3,4.192220044914223e-3
irreducible/GF 2 5/degree 2,1.508364492165275e-3,1.4691303869631116e-3,1.5433138554435757e-3,1.23363315106823e-4,1.050254713144673e-4,1.5250849814017279e-4
irreducible/GF 2 5/degree 3,4.560931762776671e-3,4.434221665455962e-3,4.672823868907268e-3,3.77926973412304e-4,3.1189481869946966e-4,4.7667424764689833e-4
irreducible/GF 2 5/degree 4,9.526272212388292e-3,9.118413911626523e-3,9.930212361675307e-3,1.1485405982998164e-3,1.0464141661201427e-3,1.3037687078401735e-3
irreducible/GF 2 5/degree 5,1.7784694543480587e-2,1.7089032922998734e-2,1.813134389396548e-2,1.1849776139195346e-3,7.086832053590508e-4,1.7952037504637673e-3
irreducible/GF 2 5/degree 20,0.9492542430020634,0.9281204888644444,0.9747115084320634,3.957692611383539e-2,2.6669636790378284e-2,5.620704882052231e-2
product of polynomials of degree one/F 59/factors 5,3.0671925951759307e-4,2.992936069717001e-4,3.1595741376041114e-4,2.8652912236944217e-5,2.4770478011615887e-5,3.491910375634699e-5
product of polynomials of degree one/F 59/factors 10,1.2964182802886266e-3,1.2582288633770974e-3,1.3444184135724766e-3,1.4893314964533792e-4,1.272178913123123e-4,1.9382678836411414e-4
product of polynomials of degree one/F 59/factors 20,1.7946778134980855e-3,1.78039421920297e-3,1.8143366206399161e-3,5.70267453368719e-5,4.5335666675870405e-5,7.440036876681214e-5
product of polynomials of degree one/F 59/factors 50,6.929048235022671e-3,6.766192687908802e-3,7.122736036099385e-3,5.439852271414895e-4,4.194951443190729e-4,6.937319230504479e-4
product of polynomials of degree one/F 59/factors 100,2.0113380994588807e-2,1.9632744898401597e-2,2.0718785309466393e-2,1.3185720033444426e-3,1.0280813971830908e-3,1.7185331439542426e-3
product of polynomials of degree one/F 12379/factors 5,8.226867161713902e-4,8.111535433598794e-4,8.373751414679821e-4,4.571008164477688e-5,3.586017813727102e-5,6.203612325109532e-5
product of polynomials of degree one/F 12379/factors 10,2.1429069303616926e-3,2.119869306201148e-3,2.171576993814839e-3,8.551446439396421e-5,6.280060061988883e-5,1.2636258685304837e-4
product of polynomials of degree one/F 12379/factors 20,7.1173399950439364e-3,7.010843728050706e-3,7.2640061912590545e-3,3.515183972393582e-4,2.5211348479689126e-4,4.8754780468877683e-4
product of polynomials of degree one/F 12379/factors 50,0.11000584055920634,0.10582416436222222,0.1143124665542857,7.3453258861077035e-3,5.157408293223261e-3,1.0686797952131616e-2
product of polynomials of degree one/F 12379/factors 100,0.3812505372740476,0.3726329821633333,0.39725253641309527,1.993217080989488e-2,9.914585541197946e-3,3.0006247160583917e-2
product of polynomials of degree one/GF 2 5/factors 5,3.300255812655055e-3,3.2385727079672286e-3,3.382016766939032e-3,2.2747386717512978e-4,1.825225025387601e-4,3.17613837405778e-4
product of polynomials of degree one/GF 2 5/factors 10,1.7772133286692277e-2,1.720396140003678e-2,1.8456544867165112e-2,1.5831750319728736e-3,1.2736736372041557e-3,2.117748416615757e-3
