Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,7.208673573686793e-5,7.089030602531608e-5,7.602989221138268e-5,6.5808782930658304e-6,2.0494905906732154e-6,1.3281934975089511e-5
irreducible/F 2/3,1.0893896301661859e-4,1.087123385498305e-4,1.0917626918501725e-4,7.593824137518804e-7,6.235124796051714e-7,9.612951820481203e-7
irreducible/F 2/4,1.4521931513164689e-4,1.4471514592355594e-4,1.4609554193487407e-4,2.1055759630399193e-6,1.4193159061560957e-6,3.2848070300705517e-6
irreducible/F 2/5,1.9599809500200238e-4,1.951353847170102e-4,1.970608556705609e-4,3.0844672387214034e-6,2.409978463196178e-6,3.83142059551974e-6
irreducible/F 2/20,2.7331579262400937e-3,2.724426826963427e-3,2.7483289441886357e-3,3.7800231896641156e-5,2.4020483716125152e-5,5.593074623897416e-5
irreducible/F 59/2,1.1558885520801979e-4,1.1518169306700074e-4,1.1613814436222403e-4,1.6264775433295995e-6,1.281158626761877e-6,2.1530389243224093e-6
irreducible/F 59/3,2.4475664823671675e-4,2.4404602259657076e-4,2.4635073849011026e-4,3.5339143064803327e-6,1.8641788058572352e-6,6.4261583579107815e-6
irreducible/F 59/4,4.430504621424995e-4,4.4206381872168504e-4,4.4397121730156556e-4,3.0720173777250774e-6,2.5182921523757603e-6,3.9274057877459444e-6
irreducible/F 59/5,7.38618621916267e-4,7.367622501709563e-4,7.431304084078713e-4,9.429280311254794e-6,4.745905898921104e-6,1.763827136609489e-5
irreducible/F 12379/2,1.5331982127739336e-4,1.5289012571005294e-4,1.538920284794328e-4,1.6887604093823645e-6,1.2683008426669115e-6,2.2047860717319e-6
irreducible/F 12379/3,3.707342115703013e-4,3.6954549401154184e-4,3.723872018829278e-4,4.8552107415801596e-6,3.6222953728793678e-6,6.815082952719567e-6
irreducible/F 12379/4,7.308207730505422e-4,7.283068329604177e-4,7.41482617609597e-4,1.4693991846920831e-5,4.584546239912132e-6,3.2129377763549205e-5
irreducible/F 12379/5,1.2628384824731208e-3,1.258939885461185e-3,1.273395208142467e-3,2.0340141686836612e-5,8.63264317028045e-6,4.290064612954564e-5
