Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,4.560171787257369e-5,4.418882959067394e-5,4.759713982682917e-5,5.721557149144452e-6,4.463388894494017e-6,7.250839285710168e-6
irreducible/F 2/3,6.935778263620016e-5,6.8599779819111e-5,7.094894569276584e-5,3.59089547495027e-6,2.0075622418830062e-6,5.9522351052777854e-6
irreducible/F 2/4,9.199973668432594e-5,9.128664650109442e-5,9.311097055001027e-5,2.99823126670504e-6,2.0669384813189424e-6,4.747931291314919e-6
irreducible/F 2/5,1.311349698449657e-4,1.30026909091678e-4,1.337854729788744e-4,6.023368175614297e-6,2.4827592033682083e-6,1.0907331860154317e-5
irreducible/F 2/20,3.106601212867446e-3,3.0886081102155863e-3,3.128874407648572e-3,6.472021980900017e-5,4.806720594775341e-5,9.125438845970992e-5
irreducible/F 59/2,5.712231894086099e-5,5.682452929566797e-5,5.782739451919067e-5,1.5354897977992324e-6,7.90168258989004e-7,3.209429751985551e-6
irreducible/F 59/3,1.2963346703929467e-4,1.2868320597991367e-4,1.3171288224620963e-4,4.611481438615343e-6,2.485664294534836e-6,8.70047156828632e-6
irreducible/F 59/4,2.5075195823191955e-4,2.4956081481849893e-4,2.5257506297229226e-4,5.090012918916378e-6,3.326473668291542e-6,8.431903320838345e-6
irreducible/F 59/5,4.3648639207263297e-4,4.3237391021982687e-4,4.4119126153484766e-4,1.4654702405570349e-5,1.1772611539209338e-5,1.9646845583398143e-5
irreducible/F 12379/2,8.198216985374235e-5,8.121849057945153e-5,8.41699976480476e-5,3.972324685861227e-6,1.6833213903231426e-6,7.555733540104742e-6
irreducible/F 12379/3,2.0721468714021075e-4,2.06409099026743e-4,2.087523314797676e-4,3.6765361925109365e-6,2.298036302147993e-6,6.5968829569908e-6
irreducible/F 12379/4,4.466162988961619e-4,4.4334590173960073e-4,4.4985717513622444e-4,1.158492209944961e-5,9.65180489549438e-6,1.4358146500213105e-5
irreducible/F 12379/5,7.841136659873896e-4,7.774056253418138e-4,7.923814451127334e-4,2.5458306877502718e-5,2.0109003289949463e-5,3.295544517124922e-5
irreducible/F 12379/20,4.491744058161413e-2,4.4324481964019134e-2,4.552999709201058e-2,1.2588868457551272e-3,9.371128810401119e-4,1.7418145346070155e-3
irreducible/GF 2 5/degree 2,2.7155747019045507e-3,2.6773631677361543e-3,2.7540257553429863e-3,1.3160942539813065e-4,1.158959365169562e-4,1.5683291687256122e-4
irreducible/GF 2 5/degree 3,8.524548189437538e-3,8.434367984920014e-3,8.70851238193888e-3,3.5607780414388543e-4,1.8003552982659196e-4,5.908253125523736e-4
irreducible/GF 2 5/degree 4,1.9424581980374403e-2,1.9260910855127218e-2,1.957742662607384e-2,4.0164117583013696e-4,3.400974715416217e-4,4.7196744506768773e-4
irreducible/GF 2 5/degree 5,3.4033852942705285e-2,3.3892698531914976e-2,3.419590690404008e-2,3.1893117998271574e-4,2.411772652402932e-4,4.5671561767971224e-4
irreducible/GF 2 5/degree 20,1.7224628513347224,1.6614841392150002,1.767077888391667,8.940886419738178e-2,5.85826938387162e-2,0.11644334923611477
product of polynomials of degree one/F 59/factors 5,2.3157789151897419e-4,2.296153032117598e-4,2.3393859018445228e-4,7.2120167360979995e-6,5.970899567485035e-6,9.01611102268114e-6
product of polynomials of degree one/F 59/factors 10,9.046354019372019e-4,8.975250022519581e-4,9.162234771472995e-4,2.8450137218191823e-5,2.0379135103578162e-5,4.5348002337777155e-5
product of polynomials of degree one/F 59/factors 20,1.4319389863303735e-3,1.41672534390702e-3,1.4464548596427043e-3,5.0408787985496985e-5,4.32144856319339e-5,5.779760653617639e-5
product of polynomials of degree one/F 59/factors 50,5.5043731994381525e-3,5.426538220426166e-3,5.583533877939144e-3,2.3420820736762821e-4,2.016265806981079e-4,2.8965060865856714e-4
product of polynomials of degree one/F 59/factors 100,1.4853860339852663e-2,1.4694902655694342e-2,1.504426394413392e-2,4.29234177357644e-4,3.3267866272685716e-4,5.54828018705638e-4
product of polynomials of degree one/F 12379/factors 5,6.361917912574016e-4,6.32526821675216e-4,6.409458969042375e-4,1.4443685351965123e-5,1.124401868455941e-5,1.8957878703295125e-5
product of polynomials of degree one/F 12379/factors 10,1.702759954526921e-3,1.6947858399515932e-3,1.7148535419626591e-3,3.340714810180966e-5,2.5459842594332822e-5,4.616370232983946e-5
product of polynomials of degree one/F 12379/factors 20,5.549760461868894e-3,5.5152361798375595e-3,5.629898816148953e-3,1.4963104579671812e-4,9.131271011320296e-5,2.9108037192147526e-4
product of polynomials of degree one/F 12379/factors 50,8.184510193712449e-2,8.100114743946608e-2,8.302917599254231e-2,1.793678933505479e-3,9.883223909306648e-4,2.52608635192459e-3
product of polynomials of degree one/F 12379/factors 100,0.3045816576715873,0.29626070494444445,0.31789770893031744,1.7113142042910378e-2,9.895441908250154e-3,2.4596463113622496e-2
product of polynomials of degree one/GF 2 5/factors 5,5.964569472524353e-3,5.927707588609032e-3,6.027315809939819e-3,1.4411903803936054e-4,9.424776567134003e-5,2.482497470747664e-4
product of polynomials of degree one/GF 2 5/factors 10,3.399559501205764e-2,3.349049761711614e-2,3.48120713918677e-2,1.3463435167315502e-3,8.020297510958112e-4,2.311202496571411e-3
product of polynomials of degree one/GF 2 5/factors 20,0.10863846908781745,0.10660234520257936,0.11239869729031746,4.3052029708960955e-3,2.5148894708529267e-3,6.457850997561582e-3
product of polynomials of degree one/GF 2 5/factors 50,0.21709632658349207,0.21442809197333332,0.22175172801753967,6.095579943013451e-3,3.273899376119846e-3,9.927250793052319e-3
randomly generated polynomials/F 2/degree 5,1.0630799970344184e-4,1.0531228235836066e-4,1.0787185312121394e-4,4.414718940702313e-6,3.1745376619760166e-6,6.918774550313865e-6
randomly generated polynomials/F 2/degree 10,2.287303611375845e-4,2.2475200019177988e-4,2.347358325333439e-4,1.6050199662411327e-5,1.180013839358763e-5,2.219822366664288e-5
randomly generated polynomials/F 2/degree 50,4.979103450605744e-2,4.9063910253279656e-2,5.1147709474821605e-2,1.9740841539588176e-3,1.1433114204166335e-3,3.1946067038321137e-3
randomly generated polynomials/F 2/degree 100,0.3162805264463095,0.30726934416845236,0.33345952758999997,2.0472630759088173e-2,1.1074376701980911e-2,3.227699189548677e-2
randomly generated polynomials/F 59/degree 5,2.610636325503198e-4,2.5755030527641943e-4,2.654177306995159e-4,1.362093376299649e-5,9.797225268935885e-6,1.9197304428943394e-5
randomly generated polynomials/F 59/degree 10,1.0300868450585116e-3,1.0160059104566035e-3,1.053503078647047e-3,6.058888834689529e-5,3.795041451265731e-5,1.0109939153068323e-4
randomly generated polynomials/F 59/degree 50,0.25073919689464286,0.24581477967976192,0.25888484184666666,1.0242631218751727e-2,7.169570725020767e-3,1.2638244578844203e-2
randomly generated polynomials/F 12379/degree 5,3.785231570903149e-4,3.7517548506614366e-4,3.8431840080357845e-4,1.4374724747524828e-5,9.29149436165954e-6,2.3685140716666747e-5
randomly generated polynomials/F 12379/degree 10,2.218544936442107e-3,2.2050897452125288e-3,2.24267485517721e-3,6.100267183671542e-5,4.22876398950366e-5,1.0809870903927786e-4
randomly generated polynomials/F 12379/degree 50,0.3878436621022619,0.3847986872220238,0.39364709991476193,6.9357131504193545e-3,3.6552886440161417e-3,1.0461163817434544e-2
randomly generated polynomials/GF 2 5/degree 5,2.422455692482379e-2,2.4035356535125188e-2,2.4515296085667583e-2,5.360941019926883e-4,3.6423726451564463e-4,8.148538211944469e-4
randomly generated polynomials/GF 2 5/degree 10,8.292681712679718e-2,8.135100325836285e-2,8.459982148816082e-2,3.026196687933265e-3,2.335565199034935e-3,4.527348872603282e-3
randomly generated polynomials/GF 2 5/degree 25,0.7780210273286905,0.7696629219557143,0.7867854140541667,1.5143882673572294e-2,1.1927111092742896e-2,2.0220708966181545e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,4.16523339782566e-5,4.1270838671371055e-5,4.293522094375795e-5,2.1309046739270904e-6,7.240990675544416e-7,4.342565202176339e-6
irreducible/F 2/3,6.743490063491423e-5,6.694301445828602e-5,6.836549393220476e-5,2.1988968052128615e-6,1.353442283252146e-6,3.5951054216452775e-6
irreducible/F 2/4,1.0982839593362824e-4,1.0447460456646944e-4,1.1974521469649481e-4,2.553933948560979e-5,1.6108876469345136e-5,4.3071288729060756e-5
irreducible/F 2/5,1.349257014353436e-4,1.3266993333872464e-4,1.3938968781608283e-4,1.0254999305494208e-5,5.764430696436686e-6,1.9084038852237466e-5
irreducible/F 2/20,3.1272366811435914e-3,3.0900042463145668e-3,3.2054364705268942e-3,1.7864892200843382e-4,1.0265322727020937e-4,2.9950980031734207e-4
irreducible/F 59/2,5.6396894340590944e-5,5.6109833304224676e-5,5.666366374298202e-5,9.75969777341507e-7,8.428677929744469e-7,1.1660392945483718e-6
irreducible/F 59/3,1.3038918078005498e-4,1.2916166589119955e-4,1.323856007147004e-4,4.8206607460267925e-6,3.16355036616161e-6,7.189491062047126e-6
irreducible/F 59/4,2.476112583296939e-4,2.4639180089379995e-4,2.490350438121152e-4,4.2380905919514115e-6,3.609384327394247e-6,5.05886151764552e-6
irreducible/F 59/5,4.2432695643601013e-4,4.222137648289188e-4,4.276300112805854e-4,8.708609311293386e-6,6.416826228380479e-6,1.2634714586045617e-5
irreducible/F 12379/2,7.964429697781094e-5,7.935782670553037e-5,8.003262497221475e-5,1.120901143717747e-6,8.417603379358218e-7,1.5679680566850576e-6
irreducible/F 12379/3,2.0371318045639303e-4,2.031095761537271e-4,2.0468951816134476e-4,2.5414301660794922e-6,1.9360859068566877e-6,3.5976070140779955e-6
irreducible/F 12379/4,4.3405852995828366e-4,4.3219014486037667e-4,4.3698042966874135e-4,7.753323587709457e-6,5.121522776484646e-6,1.3432695461046116e-5
irreducible/F 12379/5,7.814885765829795e-4,7.770296324200817e-4,7.863460714897445e-4,1.56634120214894e-5,1.3084094652369801e-5,1.906144746405991e-5
irreducible/F 12379/20,4.3191056533094865e-2,4.2959071441957306e-2,4.338503994615921e-2,4.367243436739989e-4,2.68945016117419e-4,6.122327979933427e-4
irreducible/GF 2 5/degree 2,2.3329862125921713e-3,2.316712493630337e-3,2.354446226649832e-3,6.501281130622903e-5,5.264626944192879e-5,8.025469482227932e-5
irreducible/GF 2 5/degree 3,7.649727854534904e-3,7.474218183836569e-3,7.909883812160607e-3,6.54690470404055e-4,4.7835645550681666e-4,8.308329493602223e-4
irreducible/GF 2 5/degree 4,1.6416079391778315e-2,1.6316463875991356e-2,1.6588660191634182e-2,3.2859885682883633e-4,2.2391264965886427e-4,4.1823805894501746e-4
irreducible/GF 2 5/degree 5,2.8679101896119014e-2,2.8487230730592863e-2,2.9012247441279417e-2,5.671159328459244e-4,3.7018146431261415e-4,8.64768595207645e-4
irreducible/GF 2 5/degree 20,1.6563387874864286,1.6156482468214286,1.714095481914762,8.08311909407249e-2,4.7627156409071246e-2,0.11595638530293242
product of polynomials of degree one/F 59/factors 5,2.4608452876040627e-4,2.4151644170860003e-4,2.5106263923647054e-4,1.7174342208091703e-5,1.3492440737260677e-5,2.2044932771002942e-5
product of polynomials of degree one/F 59/factors 10,9.762902171048714e-4,9.650123735493042e-4,9.91578312076857e-4,4.340284183044392e-5,3.2618882101052146e-5,5.988968413227462e-5
product of polynomials of degree one/F 59/factors 20,1.5136147092292918e-3,1.4953503301256053e-3,1.540548801100528e-3,7.795901266575769e-5,6.357033436104295e-5,9.913026340836159e-5
product of polynomials of degree one/F 59/factors 50,5.725938362307671e-3,5.66178570147415e-3,5.846802379938172e-3,2.5901325224821965e-4,1.6678057216513496e-4,3.7690390661360867e-4
product of polynomials of degree one/F 59/factors 100,1.5858360302252364e-2,1.5699403606759515e-2,1.612876057015111e-2,5.397885202465144e-4,3.532614603978546e-4,7.955639419922495e-4
product of polynomials of degree one/F 12379/factors 5,6.86347480451642e-4,6.828844318055329e-4,6.900710820340419e-4,1.2420372220829052e-5,1.0494246379289771e-5,1.5751519313638017e-5
product of polynomials of degree one/F 12379/factors 10,1.8493535651799432e-3,1.8424977919418177e-3,1.858316902549624e-3,2.6881074488515496e-5,2.0817529943902885e-5,3.7821667335591866e-5
product of polynomials of degree one/F 12379/factors 20,6.445529096652873e-3,6.268427591711305e-3,6.7577560548785e-3,7.221753275279743e-4,4.3730020434539277e-4,1.065273744924858e-3
product of polynomials of degree one/F 12379/factors 50,9.009851554625148e-2,8.86552740446281e-2,9.372841962662339e-2,3.76835852601877e-3,1.6005320122815191e-3,6.241082461428634e-3
product of polynomials of degree one/F 12379/factors 100,0.3031300984960318,0.30103856238444443,0.30627637682357145,4.112988971885587e-3,1.5780345494575926e-3,7.286922282274484e-3
product of polynomials of degree one/GF 2 5/factors 5,6.600505086767642e-3,6.370226766235079e-3,6.92852571102211e-3,7.697413237714888e-4,6.325728968978662e-4,8.977632242985257e-4
product of polynomials of degree one/GF 2 5/factors 10,3.343349366028381e-2,3.326526153086176e-2,3.368643456058451e-2,4.58424099275757e-4,3.008945646657265e-4,7.573288310145853e-4
product of polynomials of degree one/GF 2 5/factors 20,0.11160396424210317,0.10966218488805554,0.11581802775257936,4.749160449339381e-3,2.276253057985986e-3,7.666845691445293e-3
product of polynomials of degree one/GF 2 5/factors 50,0.21410326490023807,0.21108419525,0.21868272489,6.1100484711200265e-3,3.828129141132206e-3,9.587128798627139e-3
randomly generated polynomials/F 2/degree 5,1.0593397757392375e-4,1.051833869937019e-4,1.0694710707164782e-4,3.0642534467411546e-6,2.324612747645841e-6,4.371825298856876e-6
randomly generated polynomials/F 2/degree 10,2.3605653659399266e-4,2.2958484400203264e-4,2.4492642196992273e-4,2.5025032895645302e-5,1.874608305765409e-5,3.073926320439595e-5
randomly generated polynomials/F 2/degree 50,4.888021124090989e-2,4.86347850167404e-2,4.924476699727019e-2,5.892866023397372e-4,3.949984793804519e-4,7.777138603098417e-4
randomly generated polynomials/F 2/degree 100,0.31975951013281745,0.31627091837035715,0.32574631452333336,7.957627816493947e-3,3.136663562243182e-3,1.0880173123769658e-2
randomly generated polynomials/F 59/degree 5,2.6879605955790485e-4,2.671654346637911e-4,2.727861279687145e-4,8.143772676738696e-6,4.546200341069822e-6,1.5678833837022495e-5
randomly generated polynomials/F 59/degree 10,1.0770235937054438e-3,1.0704012677363367e-3,1.0918312188048628e-3,3.1455202147493104e-5,1.8954456787841227e-5,6.0807365179558334e-5
randomly generated polynomials/F 59/degree 50,0.27249929308559523,0.26535276961642856,0.2867056552909524,1.634521683770814e-2,9.613277067303843e-3,2.5367531197831417e-2
randomly generated polynomials/F 12379/degree 5,3.939075417387307e-4,3.862240755457804e-4,4.0950735025976095e-4,3.646275309849576e-5,2.186909536784013e-5,5.5033575395993344e-5
randomly generated polynomials/F 12379/degree 10,2.7832353113594333e-3,2.658062562292289e-3,2.9351454991241237e-3,4.5778479393638883e-4,3.693525831313626e-4,5.666811459611603e-4
randomly generated polynomials/F 12379/degree 50,0.4132054191647619,0.4107139934328572,0.4153338560880952,4.2212559540144865e-3,2.992428112992806e-3,6.600319899853332e-3
randomly generated polynomials/GF 2 5/degree 5,2.478212040416301e-2,2.4306126790415376e-2,2.5766233656829708e-2,1.476000308217019e-3,8.59683656394917e-4,2.6297524382323224e-3
