Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,4.483878266268493e-5,4.416643992303832e-5,4.595726013694892e-5,3.0551899925252097e-6,1.7226871466382537e-6,4.552805659666285e-6
irreducible/F 2/3,6.928588587510005e-5,6.869553472579677e-5,7.029930692478516e-5,2.7239235390405884e-6,1.8841327633151613e-6,4.1754038882554164e-6
irreducible/F 2/4,9.236881268425528e-5,9.0857720065004e-5,9.566802088290579e-5,6.547305682050335e-6,3.1112937484715356e-6,1.0851412554937598e-5
irreducible/F 2/5,1.27636240473337e-4,1.2636874546047706e-4,1.293472817475927e-4,5.0413657542582085e-6,3.4044251161078718e-6,6.814393092701126e-6
irreducible/F 2/20,2.9932833755950505e-3,2.961310685114611e-3,3.06525061326602e-3,1.5332735283286048e-4,6.10900753185394e-5,2.713137778109702e-4
irreducible/F 59/2,5.7767509418979863e-5,5.728812819847188e-5,5.8544253510127706e-5,1.978573656891714e-6,1.352270584764411e-6,2.76172085865372e-6
irreducible/F 59/3,1.2721057944875213e-4,1.2582470848383615e-4,1.3060890759228542e-4,6.933785826520979e-6,4.271666518101984e-6,1.182944275810903e-5
irreducible/F 59/4,2.391277334961264e-4,2.3724730131927224e-4,2.4344825974730312e-4,9.222843879317395e-6,6.476748950120256e-6,1.5307667972340063e-5
irreducible/F 59/5,4.18350460041483e-4,4.136466067722218e-4,4.258930200432607e-4,2.0261029334004516e-5,1.5140156806678301e-5,2.686046597180196e-5
irreducible/F 12379/2,8.14189653717544e-5,8.053160271137661e-5,8.295385441528511e-5,3.741526987685697e-6,2.660522446482232e-6,5.351650636306859e-6
irreducible/F 12379/3,1.982769902182404e-4,1.964185521493655e-4,2.0112310056867371e-4,7.850245825336528e-6,5.473256414146418e-6,1.0788224443271078e-5
irreducible/F 12379/4,4.0822063239187453e-4,4.0434806526043997e-4,4.1728733336654093e-4,1.7923024604554377e-5,9.970043153737878e-6,3.1692145089023153e-5
irreducible/F 12379/5,7.232466748024385e-4,7.161016028590778e-4,7.344147162136847e-4,2.987695368242231e-5,2.0418364519458082e-5,4.0645932467459e-5
irreducible/F 12379/20,4.0360940446640424e-2,4.002600362141158e-2,4.114692545136522e-2,1.043822629833654e-3,4.731734738814054e-4,1.8931737784534633e-3
irreducible/GF 2 5/degree 2,2.486927415033284e-3,2.452362613383082e-3,2.5569656544836036e-3,1.54262612072831e-4,5.896829115807094e-5,2.409681463342162e-4
irreducible/GF 2 5/degree 3,7.561093141108224e-3,7.47501603036353e-3,7.699183997540801e-3,3.159767666649861e-4,2.200327153031604e-4,4.6086330221474937e-4
irreducible/GF 2 5/degree 4,1.720315217110044e-2,1.6956294637068475e-2,1.7672012123355577e-2,8.737948881330611e-4,3.768815699049429e-4,1.2725351884153267e-3
irreducible/GF 2 5/degree 5,2.9684087627413116e-2,2.9370342285363435e-2,3.0441765997009936e-2,1.0053278326706812e-3,5.6954434272815e-4,1.7533549695909882e-3
irreducible/GF 2 5/degree 20,1.6040137471524207,1.5897950856687302,1.6569997629725002,4.196513104010069e-2,2.527031373533238e-3,7.030249769834535e-2
product of polynomials of degree one/F 59/factors 5,2.2895468589085235e-4,2.2625566963042397e-4,2.3224526496673633e-4,1.0200312765017524e-5,7.458016651152605e-6,1.3126223869043216e-5
product of polynomials of degree one/F 59/factors 10,8.683836111287402e-4,8.568474045313006e-4,8.891421189180215e-4,5.106508823597057e-5,3.079118957078516e-5,7.915953496859685e-5
product of polynomials of degree one/F 59/factors 20,1.3614796209357866e-3,1.3426288886225378e-3,1.3918759624935216e-3,8.066723338616858e-5,5.1222678872012586e-5,1.162579584662306e-4
product of polynomials of degree one/F 59/factors 50,5.21936056787801e-3,5.123535433071565e-3,5.345682208668091e-3,3.4624365717356116e-4,2.4124993675123734e-4,4.6585672425353817e-4
