Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,4.3943438947140716e-5,4.370907776636241e-5,4.439169976504116e-5,1.0849003639197125e-6,6.658412422659239e-7,1.9163595628074033e-6
irreducible/F 2/3,7.302054849940491e-5,7.197174866633534e-5,7.664259305911144e-5,5.844707238376116e-6,2.041097011510609e-6,1.1728923597065252e-5
irreducible/F 2/4,9.853004729974834e-5,9.780368568914443e-5,1.000316299436056e-4,3.5269766373400208e-6,2.2894683308699722e-6,6.055901395890508e-6
irreducible/F 2/5,1.4162959539358122e-4,1.3898724288423722e-4,1.4503019507879092e-4,9.792842523079183e-6,7.486635704661422e-6,1.2370171702882664e-5
irreducible/F 2/20,3.5837576259648966e-3,3.5114888115550884e-3,3.667709940852534e-3,2.456782625266933e-4,2.1975874934318306e-4,2.835477315772105e-4
irreducible/F 59/2,5.869328572219812e-5,5.836541131256873e-5,5.9012153739920354e-5,1.1907756116323783e-6,9.44919800676268e-7,1.6944147969077755e-6
irreducible/F 59/3,1.336337849830581e-4,1.3242950685245545e-4,1.359881511408282e-4,5.528566903007699e-6,3.054910123285365e-6,8.804587214624237e-6
irreducible/F 59/4,2.696733235748155e-4,2.6391019893406677e-4,2.793954766407048e-4,2.686548029562855e-5,1.9872805548352983e-5,3.7801564233275234e-5
irreducible/F 59/5,4.533110316907709e-4,4.450441341293157e-4,4.7092300890155207e-4,3.8897667430622906e-5,2.341503234965494e-5,7.218746783519775e-5
irreducible/F 12379/2,9.127284169026796e-5,8.886728240842019e-5,9.436552436653965e-5,9.464787144246964e-6,7.76977358971516e-6,1.140543909263312e-5
irreducible/F 12379/3,2.4624374133718266e-4,2.4175905791794933e-4,2.535660225127844e-4,1.842423899522147e-5,1.438751985674582e-5,2.7619827999321008e-5
irreducible/F 12379/4,4.6893826661803057e-4,4.6470424426802993e-4,4.7460258715616393e-4,1.8200350789913456e-5,1.4173941725256844e-5,2.8018491688049113e-5
irreducible/F 12379/5,8.584158129253415e-4,8.257321702774614e-4,9.480711996320256e-4,1.599814818157289e-4,3.2712861674021396e-5,2.77065258590214e-4
irreducible/F 12379/20,4.4897272370935916e-2,4.412700095031339e-2,4.641557315125097e-2,2.176836852022762e-3,8.18429433164655e-4,3.159513724838036e-3
irreducible/GF 2 5/degree 2,2.6513448823986094e-3,2.6354653772612513e-3,2.6877597248220653e-3,8.150507145863682e-5,4.4281706082966264e-5,1.5056330158035234e-4
irreducible/GF 2 5/degree 3,8.159515629854765e-3,8.063097668783464e-3,8.399440050449757e-3,3.7741407898616577e-4,1.9782082701245282e-4,7.283798516584544e-4
irreducible/GF 2 5/degree 4,1.9988913880604267e-2,1.9381725195005802e-2,2.0683825161000834e-2,1.5632863199532877e-3,1.236570471444302e-3,2.1023562533874296e-3
irreducible/GF 2 5/degree 5,3.245556140563885e-2,3.1985947748754406e-2,3.3127036096755366e-2,1.2239696580567056e-3,8.294623106562465e-4,1.8817185736442368e-3
irreducible/GF 2 5/degree 20,1.7717693122630158,1.7245682982694444,1.8751209674994445,0.1124629794062518,3.7715693878801054e-2,0.18526117243874263
product of polynomials of degree one/F 59/factors 5,2.493323909071717e-4,2.446311807210721e-4,2.5618548366544095e-4,1.8646545724591314e-5,1.4400155785143645e-5,2.3549663234454916e-5
product of polynomials of degree one/F 59/factors 10,1.0018577429084213e-3,9.789651738526981e-4,1.031958718606217e-3,8.97001589001769e-5,6.809036167044764e-5,1.1284811082014247e-4
product of polynomials of degree one/F 59/factors 20,1.5142690138692538e-3,1.4976463871099266e-3,1.5437573182310303e-3,7.408519422852535e-5,5.197175023433548e-5,1.1710164342668319e-4
product of polynomials of degree one/F 59/factors 50,5.987299868339532e-3,5.8541945025664816e-3,6.168295877818392e-3,4.8102268905804815e-4,4.095015302352001e-4,5.669201688200463e-4
product of polynomials of degree one/F 59/factors 100,1.6725546537179642e-2,1.633159731345938e-2,1.7267584000235137e-2,1.2164276975619355e-3,9.195102141259369e-4,1.7447280311030818e-3
product of polynomials of degree one/F 12379/factors 5,6.89976640763623e-4,6.843985132650231e-4,6.943222726288434e-4,1.7127451185422926e-5,1.4252128453530371e-5,2.0823931836567585e-5
product of polynomials of degree one/F 12379/factors 10,1.8845853890026153e-3,1.8718797710443674e-3,1.9009311926589114e-3,4.884149055281428e-5,3.942470216293831e-5,6.421812971667485e-5
product of polynomials of degree one/F 12379/factors 20,6.500649094953757e-3,6.340359404033942e-3,6.695375381953993e-3,5.392492087470776e-4,4.2936365996621166e-4,7.078039680500184e-4
product of polynomials of degree one/F 12379/factors 50,0.10199522778888889,9.637847561277778e-2,0.10742829170388887,9.348774695903544e-3,7.812978584248112e-3,1.1960136445561067e-2
product of polynomials of degree one/F 12379/factors 100,0.31484194651353176,0.3057812423272619,0.3270146737640873,1.8430137028876758e-2,1.26351333577849e-2,2.5969918530764455e-2
product of polynomials of degree one/GF 2 5/factors 5,6.704006394145193e-3,6.53635643060836e-3,6.952029153402771e-3,5.888439601744067e-4,4.17052431118116e-4,8.593074170269191e-4
product of polynomials of degree one/GF 2 5/factors 10,3.4916592973325215e-2,3.454914682058205e-2,3.5254414757148744e-2,7.248341291822344e-4,5.916069037469742e-4,9.411128317522673e-4
product of polynomials of degree one/GF 2 5/factors 20,0.11238112591869047,0.11170025276488096,0.11394624688571428,1.7582917521014728e-3,7.264893509226773e-4,3.0423572878031224e-3
product of polynomials of degree one/GF 2 5/factors 50,0.24244623697468254,0.22988517519444446,0.2573907555829365,2.315296509934943e-2,1.759600134559296e-2,2.799125417319203e-2
randomly generated polynomials/F 2/degree 5,1.0762579276984539e-4,1.0617648375671024e-4,1.1060730141784509e-4,6.507394994330695e-6,3.967440547038811e-6,1.1319760200912498e-5
randomly generated polynomials/F 2/degree 10,2.382528442992417e-4,2.3241575966458864e-4,2.452924446809241e-4,2.184233920991183e-5,1.6916004890369792e-5,2.6474397217557885e-5
randomly generated polynomials/F 2/degree 50,5.694142088353249e-2,5.498129211175363e-2,5.87986014572927e-2,3.6775288442973332e-3,2.92469664997589e-3,4.8859314628550005e-3
randomly generated polynomials/F 2/degree 100,0.34537490316222225,0.3303185424888889,0.35770622545666664,2.4002997146427466e-2,1.804436485473943e-2,2.8201227256663214e-2
randomly generated polynomials/F 59/degree 5,2.7237591692366036e-4,2.668334704164243e-4,2.882690514819316e-4,2.8204665938768352e-5,1.1916480926038653e-5,5.732474483010303e-5
randomly generated polynomials/F 59/degree 10,1.042198709221037e-3,1.0267348621490265e-3,1.079220691915736e-3,7.803390998766987e-5,3.545481605775471e-5,1.3224698620575888e-4
randomly generated polynomials/F 59/degree 50,0.2640629995325397,0.25844485616809526,0.27652563366031746,1.4269790709118478e-2,6.155550212580392e-3,2.2327504660481726e-2
randomly generated polynomials/F 12379/degree 5,4.144727374462413e-4,4.051229350755258e-4,4.252037837535482e-4,3.373788847850031e-5,2.8111599175964814e-5,4.443092693036512e-5
randomly generated polynomials/F 12379/degree 10,2.6322904439742586e-3,2.550537511228021e-3,2.7148787982891704e-3,2.63954623840528e-4,2.2658424500959497e-4,3.1335174000028123e-4
randomly generated polynomials/F 12379/degree 50,0.4548326257564286,0.4321933512080952,0.47632592695666665,3.800545680658363e-2,2.9425985427928823e-2,5.333963279679486e-2
randomly generated polynomials/GF 2 5/degree 5,2.6215498767171115e-2,2.5868091329663473e-2,2.6656877381292444e-2,8.663080591145804e-4,6.815816811061671e-4,1.1095100765001979e-3
randomly generated polynomials/GF 2 5/degree 10,8.544376613529123e-2,8.453649210530302e-2,8.699028155316804e-2,2.074592467038514e-3,1.2918631306384782e-3,2.8225175668270455e-3
randomly generated polynomials/GF 2 5/degree 25,0.8796889923241666,0.8623862060133334,0.9291334064225,4.716438715459821e-2,1.2693824046020881e-2,7.794857791213892e-2
