Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
irreducible/F 2/2,8.773333167463124e-5,8.750641807905479e-5,8.807007642030523e-5,9.304122689335198e-7,6.893064438041168e-7,1.5010412019472778e-6
irreducible/F 2/3,1.367726481466475e-4,1.3563734362986838e-4,1.4026309437932416e-4,6.5552796376954194e-6,1.4949133064044918e-6,1.2380407286549047e-5
irreducible/F 2/4,1.8269288981310786e-4,1.8217684595618768e-4,1.8320636746136976e-4,1.762417718287894e-6,1.367361450496774e-6,2.286702190800152e-6
irreducible/F 2/5,2.477219364461627e-4,2.473023256131557e-4,2.486263994269796e-4,2.0179451477904124e-6,1.1824029793638885e-6,3.6001794404451122e-6
irreducible/F 2/20,4.03319177522235e-3,4.02408379634791e-3,4.045070609177615e-3,3.276822192637915e-5,2.5836466333903874e-5,4.363710961627616e-5
irreducible/F 59/2,1.1250068673173105e-4,1.1212926893905283e-4,1.1316752787071147e-4,1.5777893892294078e-6,1.1613341824077878e-6,2.6419473491978302e-6
irreducible/F 59/3,2.3223246012411572e-4,2.3170224030478106e-4,2.3291250985168149e-4,2.064644819491742e-6,1.7445104512253725e-6,2.640543753104028e-6
irreducible/F 59/4,4.1452492901389944e-4,4.0891401864926613e-4,4.2810135495495997e-4,2.7190839281613763e-5,6.229385858789437e-6,4.430162667727906e-5
irreducible/F 59/5,6.608830437439413e-4,6.594307873045284e-4,6.62262728827462e-4,4.831264827935087e-6,4.019593317575904e-6,5.831608153545574e-6
irreducible/F 12379/2,1.47606081025926e-4,1.4719660999477026e-4,1.4816229206604084e-4,1.5526975168031952e-6,1.0227194604331877e-6,2.6243073451738885e-6
irreducible/F 12379/3,3.357366780983203e-4,3.348592466997109e-4,3.3667094971504886e-4,3.0397633978181243e-6,2.417249548415558e-6,3.981646496371646e-6
irreducible/F 12379/4,6.459375614024729e-4,6.43452662966242e-4,6.495339472282861e-4,9.701078426749282e-6,6.894645093778764e-6,1.3525407245130075e-5
irreducible/F 12379/5,1.0798969847534382e-3,1.0749942096599967e-3,1.0926665629483576e-3,2.505354628918578e-5,9.873176944232597e-6,4.819925141516394e-5
irreducible/F 12379/20,4.752869917186583e-2,4.742495237103174e-2,4.766636395589569e-2,2.3363989792111043e-4,1.8117521764341064e-4,3.194427506130206e-4
irreducible/GF 2 5/degree 2,2.6070510552269016e-3,2.601901731483869e-3,2.6139395694688146e-3,2.043607418638975e-5,1.605700149950761e-5,2.9444356319279154e-5
irreducible/GF 2 5/degree 3,7.590767041062582e-3,7.572855473649871e-3,7.62609260122718e-3,7.460754469384551e-5,3.829683678967434e-5,1.2002954067419267e-4
irreducible/GF 2 5/degree 4,1.7023510088991525e-2,1.6980742584074494e-2,1.7097828902554006e-2,1.4346898369468742e-4,8.534426110067751e-5,2.5358178663555944e-4
irreducible/GF 2 5/degree 5,2.9295549029335077e-2,2.9201845103203644e-2,2.9446846094706602e-2,2.579755290083891e-4,1.6065057030701383e-4,3.7805735374861184e-4
irreducible/GF 2 5/degree 20,1.6003179621654762,1.597383428075,1.6049706013133331,6.385135741976878e-3,2.9671358412104594e-3,8.710988074850197e-3
product of polynomials of degree one/F 59/factors 5,4.095962575314789e-4,4.0783475441193135e-4,4.146390360381596e-4,9.672325550915498e-6,3.521820229493818e-6,1.9332405244466084e-5
product of polynomials of degree one/F 59/factors 10,1.3752819735464601e-3,1.3722186315481809e-3,1.3810546442032982e-3,1.4416983662223172e-5,8.27507082884512e-6,2.4984987947279544e-5
product of polynomials of degree one/F 59/factors 20,2.09824111417531e-3,2.0931543018148564e-3,2.1036402420552733e-3,1.8041850206099932e-5,1.422443927214944e-5,2.3647484381675885e-5
product of polynomials of degree one/F 59/factors 50,6.962856250450621e-3,6.944125234408469e-3,6.9842699566081e-3,5.984984885874931e-5,4.7176890817403164e-5,8.0243756245612e-5
product of polynomials of degree one/F 59/factors 100,1.7324052004797696e-2,1.728176666961604e-2,1.7378432947267552e-2,1.1829701815849274e-4,8.438868028521784e-5,1.5562523195688596e-4
product of polynomials of degree one/F 12379/factors 5,1.0042507350635722e-3,1.0001910738153671e-3,1.017979822255345e-3,2.1701955590931214e-5,9.673032944982742e-6,4.687371149049851e-5
product of polynomials of degree one/F 12379/factors 10,2.409411013020973e-3,2.3983947389708644e-3,2.438879339000777e-3,5.194876301985126e-5,2.8593475651837838e-5,1.1419755790624143e-4
product of polynomials of degree one/F 12379/factors 20,6.791083260546888e-3,6.769092840293132e-3,6.85260462361362e-3,1.0183159805227291e-4,4.76532174739178e-5,1.889225983484542e-4
product of polynomials of degree one/F 12379/factors 50,3.770287240514451e-2,3.7627302844352e-2,3.7770317258560365e-2,1.5642516336537588e-4,1.2067607575367491e-4,1.9038294979407966e-4
product of polynomials of degree one/F 12379/factors 100,0.5133400671022222,0.5120794646322222,0.5154907171288888,2.684689976702015e-3,1.2515893739638746e-3,3.439977996838952e-3
product of polynomials of degree one/GF 2 5/factors 5,5.950579791063102e-3,5.936570286842756e-3,5.976438834148005e-3,5.660453150498568e-5,3.6666818892752074e-5,9.518368823415542e-5
product of polynomials of degree one/GF 2 5/factors 10,3.3075709635252505e-2,3.2975293005682416e-2,3.317462773728659e-2,2.2211256096725152e-4,1.6769355892952344e-4,3.41622242356047e-4
product of polynomials of degree one/GF 2 5/factors 20,0.10703995161738096,0.10678069265380952,0.10740502185,5.375175627476836e-4,3.716286918983524e-4,7.844008445327295e-4
product of polynomials of degree one/GF 2 5/factors 50,0.2203820258315476,0.21959497203750003,0.22179577824000002,1.8517812738120872e-3,1.035573427800105e-3,2.8396948184852213e-3
randomly generated polynomials/F 2/degree 5,2.0398884099539745e-4,2.0336189201311996e-4,2.0525480131983724e-4,2.8534823795810815e-6,1.8103266662880511e-6,4.1627512034613326e-6
randomly generated polynomials/F 2/degree 10,4.0429151625044033e-4,4.0304580327930054e-4,4.0618857035187823e-4,5.043999927513805e-6,3.5339868792186615e-6,7.01511518416992e-6
randomly generated polynomials/F 2/degree 50,2.5000158690074076e-2,2.493975440030226e-2,2.5091654906722157e-2,1.669526091094712e-4,1.0909182696043438e-4,2.198206668220071e-4
randomly generated polynomials/F 2/degree 100,0.5645041157109126,0.5632374513463889,0.5663865619647221,2.625667585286944e-3,1.825152259503313e-3,3.542624713888584e-3
randomly generated polynomials/F 59/degree 5,4.328280345619941e-4,4.310917193238077e-4,4.376550766589994e-4,9.504281477671013e-6,4.326380421873337e-6,1.855769844031806e-5
randomly generated polynomials/F 59/degree 10,1.4277934532919223e-3,1.4219128163453936e-3,1.4400240393813274e-3,2.8630832943029578e-5,1.0067874725498842e-5,4.8297545505048077e-5
randomly generated polynomials/F 59/degree 50,0.2817617971257143,0.2813942721066667,0.2821907444880952,6.667110689290824e-4,4.7356335354439686e-4,1.0295187786847815e-3
