Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"solution/ternary-01/naive",2.263175338857314e-2,2.2280124131371e-2,2.3632224503685444e-2,2.791889821577562e-3,1.2230271243689292e-3,6.0154898634967365e-3
"solution/ternary-01/lefteigen",0.3360609182750477,0.32433497995488786,0.366515141431023,8.96869418495357e-2,3.927752595886243e-2,0.18046226566030277
"solution/ternary-01/companion",0.12000182241552015,0.11384863943212174,0.1394520005618824,4.94364948960889e-2,8.635556726719375e-3,0.10643790296746511
"solution/ternary-02/naive",7.802086774040674e-3,7.4580106174244615e-3,8.517528477837058e-3,2.4225182348435272e-3,1.4517717825920002e-3,4.445963331466404e-3
"solution/ternary-02/lefteigen",0.1185698184406056,0.10233765215032242,0.1473392137920155,0.10836700203963312,7.061524109514347e-2,0.17379310255715885
"solution/ternary-02/companion",2.171521753423354e-2,2.1248470250298003e-2,2.2394867840935216e-2,2.8526338891475683e-3,2.175303956729019e-3,3.855523738385195e-3
"solution/ternary-03/naive",9.072879258324118e-3,8.741060200859517e-3,9.906791154076071e-3,2.5196230990362375e-3,1.2414921390546765e-3,5.205463602597915e-3
"solution/ternary-03/lefteigen",0.10970020860784194,9.970920890920301e-2,0.12922237009160664,6.942301428589968e-2,4.272001692873524e-2,0.11953919267046723
"solution/ternary-03/companion",3.836878151052137e-2,3.475287288777969e-2,4.450147003286026e-2,2.3663918658141263e-2,1.5537564129441439e-2,3.475089905218564e-2
"solution/ternary-04/naive",1.477293342702529e-2,1.4567209187675928e-2,1.50691899692311e-2,1.258253846773752e-3,9.531248392960278e-4,1.647608123358491e-3
"solution/ternary-04/lefteigen",0.1757955130969777,0.16664915413015025,0.19952193349950453,6.958040754823978e-2,3.120953166044803e-2,0.1365379553383961
"solution/ternary-04/companion",5.3716166917015536e-2,5.329196781270643e-2,5.432633966558121e-2,2.587119304224361e-3,1.9784555284095046e-3,3.5020611498695385e-3
"solution/4-ary-05/naive",1.6344623285181382e-3,1.5719799714929916e-3,1.7345385270960182e-3,3.975463252020164e-4,2.8552225109284803e-4,5.842154614525307e-4
"solution/4-ary-05/lefteigen",1.423774332158706e-2,1.397452444188735e-2,1.4604006711174459e-2,1.5771155607673755e-3,1.2021516717506924e-3,2.084107039046664e-3
"solution/4-ary-05/companion",4.3337783252491635e-3,4.256442490745993e-3,4.4455871021046355e-3,4.733572766535335e-4,3.5763216602909583e-4,6.495833879539812e-4
"solution/4-ary-06/naive",3.116391602684469e-3,3.081777993370505e-3,3.166187707115622e-3,2.1060538319296368e-4,1.5824429170359838e-4,2.93885500944153e-4
"solution/4-ary-06/lefteigen",4.451328367345473e-2,3.911580652349138e-2,5.631345600240371e-2,3.90274643094554e-2,2.082883532629235e-2,6.891956165889847e-2
"solution/4-ary-06/companion",1.3641024533440084e-2,1.3371368352104635e-2,1.4036377373863674e-2,1.6568838966399006e-3,1.2646677039124816e-3,2.3249599187766534e-3
"solution/4-ary-07/naive",7.419808000676772e-2,7.334497303121233e-2,7.550653785817765e-2,5.363229498961099e-3,3.860942020502286e-3,7.329598045767772e-3
"solution/4-ary-07/lefteigen",5.716904445592097,5.53834773868673,5.967776668969322,1.0730232526625056,0.8413594669491836,1.5084359534799416
"solution/4-ary-07/companion",1.8421384009753956,1.7829359325801626,1.9157573494350213,0.33769244160737505,0.28568265265639653,0.41047510503642126
