Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lex01/syzygy,2.0693820995079815e-3,2.058625044436817e-3,2.085677848741172e-3,4.354095735498856e-5,3.5045979202171395e-5,5.343610731863133e-5
lex01/syz+sugar,1.7780731993459848e-3,1.7151358862623543e-3,1.872826284185287e-3,2.7679502425802406e-4,2.3916012291664695e-4,3.086447315096358e-4
lex01/standard,2.380585396409135e-3,2.3686352739782394e-3,2.3955140313052024e-3,4.8135621886473543e-5,4.1188050978774797e-5,5.7531511562362765e-5
lex01/naive-homog,6.591133547651537e-2,6.11688801132675e-2,7.691442436746031e-2,1.4479829752471111e-2,5.384482223656393e-3,2.4462481100310775e-2
lex01/hilb,0.17616239364075398,0.1606685591850397,0.2124173037825397,3.8459507280091385e-2,1.605942138280576e-2,6.259030088541029e-2
lex01/F5,1.8697737059387583e-3,1.864037527841396e-3,1.8770202318291564e-3,2.558393986571553e-5,2.160078820235755e-5,3.0539534905145155e-5
grevlex01/syzygy,1.5362080306287678e-2,1.4871398643726918e-2,1.641419038454811e-2,1.506955863769839e-3,7.813421689318906e-4,2.4384759117776615e-3
grevlex01/syz+sugar,1.5472912863361655e-2,1.5098897125121118e-2,1.6235694523509345e-2,1.4644329228934026e-3,7.848502720283698e-4,2.435204751215269e-3
grevlex01/standard,1.6558668033972216e-2,1.5529000566543636e-2,1.897913288927399e-2,3.7861812876531613e-3,1.940146389897585e-3,6.64567382676868e-3
grevlex01/naive-homog,0.9506499163025793,0.8500474904828572,1.1714378583746032,0.23853535498207631,0.11874387359580818,0.40294761964579084
grevlex01/hilb,0.2626661068792461,0.23071773980869045,0.3325035310655556,7.516598887032645e-2,2.153386640256509e-2,0.11630778537128099
grevlex01/F5,0.4419750125510317,0.405509262878254,0.5368174453466666,9.64664512830699e-2,4.2206398652834126e-2,0.15458243899679702
lex0Cyclic-4/syzygy,9.916649441416667e-2,9.374948461416667e-2,0.11530900110416667,1.5335346285150774e-2,5.194624444925557e-3,2.62342871108535e-2
lex0Cyclic-4/syz+sugar,1.4708426474444465e-2,1.3215176161509612e-2,1.9032780775225643e-2,6.079839606925736e-3,2.1242772906468928e-3,1.1362637100790928e-2
lex0Cyclic-4/standard,1.2892072037111036e-2,1.2578257494706023e-2,1.3533544649181096e-2,1.2124908812142126e-3,6.782850691262445e-4,2.0310389882063017e-3
lex0Cyclic-4/naive-homog,0.10592035373115079,9.625229946861111e-2,0.12280588948194444,2.244132856745188e-2,8.514253454051953e-3,3.66967442358723e-2
lex0Cyclic-4/hilb,4.901688618697007e-2,4.57815275722226e-2,5.8729435625103785e-2,1.0258142010289299e-2,3.7973358818349703e-3,1.922939319413857e-2
lex0Cyclic-4/F5,6.00528221877817e-3,5.867823178799878e-3,6.169430728386937e-3,4.987367342219247e-4,3.3257298802228074e-4,6.788072768854408e-4
grevlex0Cyclic-4/syzygy,3.4123715671169567e-3,3.3715249672883235e-3,3.4793966969208926e-3,1.8406748246640138e-4,1.3169286366931249e-4,2.5291519656036964e-4
grevlex0Cyclic-4/syz+sugar,3.5012397198947004e-3,3.4580574491262952e-3,3.5616329716321423e-3,1.7764943671439893e-4,1.418681132560309e-4,2.3989378400973634e-4
grevlex0Cyclic-4/standard,3.776772231487114e-3,3.714590789226137e-3,3.8515774233232637e-3,2.1535956750874533e-4,1.7358952916393476e-4,2.5897582359973257e-4
grevlex0Cyclic-4/naive-homog,5.460290407546798e-2,5.1131678656168834e-2,6.0398905045362376e-2,1.0140053162590998e-2,5.034120132804756e-3,1.6911186643004453e-2
grevlex0Cyclic-4/hilb,3.4914709448071526e-2,3.292995930529455e-2,4.0662065926115855e-2,6.843431626248295e-3,2.7906839131164804e-3,1.3087008422949688e-2
grevlex0Cyclic-4/F5,2.906924651008301e-3,2.8247217298146515e-3,2.976557204031156e-3,2.2938254845742586e-4,1.9754307016120974e-4,2.819834248955649e-4
grevlex03/syzygy,0.6633591634432143,0.6067711273982143,0.831275324509881,0.15644063751959233,7.189431381584815e-2,0.24705343079180164
grevlex03/syz+sugar,0.6238196497052778,0.5780383194638888,0.7631267436469444,0.13415401585724365,6.167172721492423e-2,0.22016141266356232
grevlex03/standard,0.6289825147210715,0.5769979832183333,0.76292232205,0.13496963155159872,5.4983408757596025e-2,0.2125129691516432
grevlex03/naive-homog,0.42321838956702384,0.38660115669619044,0.4935731405066667,8.617848524259038e-2,3.623785511003541e-2,0.13559425060810035
grevlex03/hilb,9.753264487005953,8.874915331190476,11.220041000243333,2.0204230776137413,0.6802868151233965,3.26581525963727
grevlex03/F5,1.3371067890357937,1.2229935320874603,1.6231549323083332,0.28572352650251537,0.11346238608717285,0.46292616032786577
