I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1445	63	512	155	1272	90	409	88	515	220
1398	64	517	149	1283	90	409	89	518	221
1431	62	515	150	1271	89	409	89	561	224
1482	61	514	146	1280	89	407	87	517	223
1405	62	513	148	1277	87	406	89	516	220
1441	63	512	148	1280	89	421	90	520	221
1402	63	515	158	1274	90	407	89	517	223
1424	63	512	148	1271	90	409	89	557	220
1460	63	517	147	1271	90	409	89	512	220
1419	62	514	147	1292	89	412	89	531	220
1442	62	511	146	1271	91	409	89	516	220
1406	62	511	162	1249	89	410	89	514	220
1402	64	513	151	1280	90	408	89	514	217
1443	63	513	150	1270	90	406	88	517	219
1398	64	515	150	1270	89	408	89	514	216
1426	62	515	148	1286	90	408	91	514	221
1401	61	515	149	1260	91	409	88	520	218
1419	63	523	152	1285	89	410	89	521	219
1404	62	515	147	1259	90	413	88	522	218
1401	63	514	146	1264	89	408	88	520	221
1414	64	512	147	1269	89	405	88	522	219
1401	62	514	152	1269	90	408	88	528	221
1405	64	520	149	1267	89	413	89	515	220
1472	63	517	147	1288	88	406	90	515	222
1402	63	517	145	1259	89	408	95	513	219
1408	63	515	145	1283	92	412	90	516	220
1396	63	514	145	1265	90	409	88	525	219
1404	63	526	146	1291	90	409	89	518	220
1413	62	515	148	1279	90	410	87	516	222
1412	62	513	146	1257	89	405	88	515	218
1396	76	514	146	1267	89	407	88	515	224
1397	61	511	146	1279	88	421	88	513	221
1412	63	523	148	1274	90	411	89	519	221
1424	64	512	146	1289	92	408	88	516	220
1398	64	514	149	1310	91	408	89	517	221
1401	63	513	145	1277	91	411	89	562	221
1417	62	511	148	1318	89	411	87	517	224
1417	63	514	152	1281	91	408	89	519	222
1439	63	509	146	1278	90	408	88	513	221
1446	64	511	146	1448	105	410	90	515	222
1468	77	511	144	1442	162	408	89	552	221
1459	63	510	146	1458	90	409	89	519	223
1441	64	513	150	1360	91	410	90	523	266
1461	64	530	147	1300	91	409	89	827	219
1427	63	510	145	1320	89	422	88	555	222
1439	63	511	147	1272	89	407	88	511	222
1419	64	511	146	1257	91	407	88	514	222
1429	63	513	150	1261	89	408	89	514	220
1412	63	544	146	1271	89	406	88	517	223
1423	63	514	144	1286	88	406	88	523	224
1394	76	509	145	1265	89	406	90	514	225
1401	63	509	145	1273	89	412	88	518	221
1399	61	518	149	1279	89	409	89	517	226
1429	63	549	146	1273	90	406	88	516	223
1393	64	512	143	1280	89	408	89	513	221
1399	63	508	147	1284	91	409	90	514	220
1398	63	510	149	1255	91	413	92	511	220
1406	63	512	147	1284	90	410	90	512	219
1418	62	515	146	1278	89	408	88	516	222
1395	63	510	143	1288	89	406	89	514	219
1399	62	510	146	1278	89	406	89	514	219
1418	63	510	146	1275	90	408	89	515	232
1399	64	514	150	1279	90	409	88	533	222
1404	62	512	150	1298	90	408	89	537	223
1402	62	512	147	1271	91	440	88	516	225
1419	63	510	148	1278	89	408	88	516	225
1403	63	508	147	1274	88	405	88	517	220
